Form type,Form description,Filing date,Reporting date,Highlights
10-Q,Quarterly report [Sections 13 or 15(d)],25/04/24,31/03/24,"1. Microsoft Cloud revenue increased 23% to $35.1 billion.
2. Office Commercial products and cloud services revenue increased 13% driven by Office 365 Commercial growth of 15%.
3. Office Consumer products and cloud services revenue increased 4% and Microsoft 365 Consumer subscribers grew to 80.8 million.
4. LinkedIn revenue increased 10%.
5. Dynamics products and cloud services revenue increased 19% driven by Dynamics 365 growth of 23%.
6. Server products and cloud services revenue increased 24% driven by Azure and other cloud services growth of 31%.
7. Windows revenue increased 11% with Windows original equipment manufacturer licensing (“Windows OEM”) revenue growth of 11% and Windows Commercial products and cloud services revenue growth of 13%.
8. Devices revenue decreased 17%.
9. Xbox content and services revenue increased 62% driven by 61 points of net impact from the Activision Blizzard Inc. (“Activision Blizzard”) acquisition. The net impact reflects the change of Activision Blizzard content from third-party to first-party.
10. Search and news advertising revenue excluding traffic acquisition costs increased 12%."
10-Q,Quarterly report [Sections 13 or 15(d)],30/01/24,31/12/23,"1. Microsoft Cloud revenue increased 24% to $33.7 billion.
2. Office Commercial products and cloud services revenue increased 15% driven by Office 365 Commercial growth of 17%.
3. Office Consumer products and cloud services revenue increased 5% and Microsoft 365 Consumer subscribers grew to 78.4 million.
4. LinkedIn revenue increased 9%.
5. Dynamics products and cloud services revenue increased 21% driven by Dynamics 365 growth of 27%.
6. Server products and cloud services revenue increased 22% driven by Azure and other cloud services growth of 30%.
7. Windows revenue increased 9% with Windows original equipment manufacturer licensing (“Windows OEM”) revenue growth of 11% and Windows Commercial products and cloud services revenue growth of 9%.
8. Devices revenue decreased 9%."
10-Q,Quarterly report [Sections 13 or 15(d)],24/10/23,30/09/23,"1. Microsoft Cloud revenue increased 24% to $31.8 billion.
2. Office Commercial products and cloud services revenue increased 15% driven by Office 365 Commercial growth of 18%.
3. Office Consumer products and cloud services revenue increased 3% and Microsoft 365 Consumer subscribers grew to 76.7 million.
4. LinkedIn revenue increased 8%.
5. Dynamics products and cloud services revenue increased 22% driven by Dynamics 365 growth of 28%.
6. Server products and cloud services revenue increased 21% driven by Azure and other cloud services growth of 29%.
7. Windows revenue increased 5% with Windows original equipment manufacturer licensing (“Windows OEM”) revenue growth of 4% and Windows Commercial products and cloud services revenue growth of 8%.
8. Devices revenue decreased 22%.
9. Xbox content and services revenue increased 13%.
10. Search and news advertising revenue excluding traffic acquisition costs increased 10%."
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]",27/07/23,30/06/23,"1. Microsoft Cloud revenue increased 22% to $111.6 billion.
2. Office Commercial products and cloud services revenue increased 10% driven by Office 365 Commercial growth of 13%.
3. Office Consumer products and cloud services revenue increased 2% and Microsoft 365 Consumer subscribers increased to 67.0 million.
4. LinkedIn revenue increased 10%.
5. Dynamics products and cloud services revenue increased 16% driven by Dynamics 365 growth of 24%.
6. Server products and cloud services revenue increased 19% driven by Azure and other cloud services growth of 29%.
7. Windows original equipment manufacturer licensing (“Windows OEM”) revenue decreased 25%.
8. Devices revenue decreased 24%.
9. Windows Commercial products and cloud services revenue increased 5%.
10. Xbox content and services revenue decreased 3%. 
11. Search and news advertising revenue excluding traffic acquisition costs increased 11%."
10-Q,Quarterly report [Sections 13 or 15(d)],25/04/23,31/03/23,"
1. Microsoft Cloud revenue increased 22% to $28.5 billion.
2. Office Commercial products and cloud services revenue increased 13% driven by Office 365 Commercial growth of 14%.
3. Office Consumer products and cloud services revenue increased 1% and Microsoft 365 Consumer subscribers increased to 65.4 million.
4. LinkedIn revenue increased 8%.
5. Dynamics products and cloud services revenue increased 17% driven by Dynamics 365 growth of 25%.
6. Server products and cloud services revenue increased 17% driven by Azure and other cloud services growth of 27%.
7. Windows original equipment manufacturer licensing (“Windows OEM”) revenue decreased 28%.
8. Devices revenue decreased 30%.
9. Windows Commercial products and cloud services revenue increased 14%.
10.  Xbox content and services revenue increased 3%.
11. Search and news advertising revenue excluding traffic acquisition costs increased 10%."
10-Q,Quarterly report [Sections 13 or 15(d)],24/01/23,31/12/22,"1. Microsoft Cloud revenue increased 22% to $27.1 billion.
2. Office Commercial products and cloud services revenue increased 7% driven by Office 365 Commercial growth of 11%.
3. Office Consumer products and cloud services revenue decreased 2% and Microsoft 365 Consumer subscribers increased to 63.2 million.
4. LinkedIn revenue increased 10%.
5. Dynamics products and cloud services revenue increased 13% driven by Dynamics 365 growth of 21%.
6. Server products and cloud services revenue increased 20% driven by Azure and other cloud services growth of 31%.
7. Windows original equipment manufacturer licensing (“Windows OEM”) revenue decreased 39%.
8. Windows Commercial products and cloud services revenue decreased 3%.
9. Xbox content and services revenue decreased 12%.
10. Search and news advertising revenue excluding traffic acquisition costs increased 10%.
11. Devices revenue decreased 39%."
10-Q,Quarterly report [Sections 13 or 15(d)],25/10/22,30/09/22,"1. Microsoft Cloud revenue increased 24% to $25.7 billion.
2. Office Commercial products and cloud services revenue increased 7% driven by Office 365 Commercial growth of 11%.
3. Office Consumer products and cloud services revenue increased 7% and Microsoft 365 Consumer subscribers increased to 61.3 million. 
4. LinkedIn revenue increased 17%.
5. Dynamics products and cloud services revenue increased 15% driven by Dynamics 365 growth of 24%.
6. Server products and cloud services revenue increased 22% driven by Azure and other cloud services growth of 35%.
7. Windows original equipment manufacturer licensing (“Windows OEM”) revenue decreased 15%.
8. Windows Commercial products and cloud services revenue increased 8%.
9. Xbox content and services revenue decreased 3%.
10. Search and news advertising revenue excluding traffic acquisition costs increased 16%.
11. Devices revenue increased 2%."
10-K,"Annual report [Section 13 and 15(d), not S-K Item 405]",28/07/22,30/06/22,"1. Microsoft Cloud (formerly commercial cloud) revenue increased 32% to $91.2 billion.
2. Office Commercial products and cloud services revenue increased 13% driven by Office 365 Commercial growth of 18%.
3. Office Consumer products and cloud services revenue increased 11% and Microsoft 365 Consumer subscribers grew to 59.7 million.
4. LinkedIn revenue increased 34%.
5. Dynamics products and cloud services revenue increased 25% driven by Dynamics 365 growth of 39%.
6. Server products and cloud services revenue increased 28% driven by Azure and other cloud services growth of 45%.
7. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased 11%.
8. Windows Commercial products and cloud services revenue increased 11%.
9. Xbox content and services revenue increased 3%.
10. Search and news advertising revenue excluding traffic acquisition costs increased 27%.
11. Surface revenue increased 3%."
10-Q,Quarterly report [Sections 13 or 15(d)],26/04/22,31/03/22,"1. Microsoft Cloud (formerly commercial cloud) revenue increased 32% to $23.4 billion.
2. Office Commercial products and cloud services revenue increased 12% driven by Office 365 Commercial growth of 17%.
3. Office Consumer products and cloud services revenue increased 11% and Microsoft 365 Consumer subscribers grew to 58.4 million.
4. LinkedIn revenue increased 34%.
5. Dynamics products and cloud services revenue increased 22% driven by Dynamics 365 growth of 35%.
6. Server products and cloud services revenue increased 29% driven by Azure and other cloud services growth of 46%.
7. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased 11%.
8. Windows Commercial products and cloud services revenue increased 14%.
9. Xbox content and services revenue increased 4%."
10-Q,Quarterly report [Sections 13 or 15(d)],25/01/22,31/12/21,"1. Microsoft Cloud (formerly commercial cloud) revenue increased 32% to $22.1 billion.
2. Office Commercial products and cloud services revenue increased 14% driven by Office 365 Commercial growth of 19%.
3. Office Consumer products and cloud services revenue increased 15% and Microsoft 365 Consumer subscribers grew to 56.4 million.
4. LinkedIn revenue increased 37%.
5. Dynamics products and cloud services revenue increased 29% driven by Dynamics 365 growth of 45%.
6. Server products and cloud services revenue increased 29% driven by Azure and other cloud services growth of 46%.
7. Windows original equipment manufacturer licensing (“Windows OEM”) revenue increased 25%.
8. Windows Commercial products and cloud services revenue increased 13%.
9. Xbox content and services revenue increased 10%."
