Month-Year,HEADLINES,SEC filings-Highlights,Open,Close
2014-06,"At E3 Gaming Convention, Microsoft Shifts Emphasis of Xbox One Console to Games | Microsoft Protests Order to Disclose Email Stored Abroad | Order for Microsoft to Disclose Data Stored Outside of U.S. | The Old Is New Again at E3 for Sony and Microsoft | Daily Report: Microsoft Challenges Federal Warrant for Data Stored Overseas | Microsoft Unveils Machine Learning for the Masses | Microsoft’s Surface Pro 3 Isn’t for Everybody | Using Microsoft OneDrive for Photo Backup | Microsoft Makes Bet Quantum Computing Is Next Breakthrough | Daily Report: Microsoft Sees Quantum Computing as Technology’s Next Frontier | Google, Microsoft and Others Delve Deeper Into Cloud Storage for Businesses",,40.950001,41.700001
2014-07,"Microsoft Taking Steps to Comply With the Right to be Forgotten | Satya Nadella Says Changes Are Coming to Microsoft | Large Round of Layoffs Expected at Microsoft | Microsoft to Lay Off Thousands, Most From Nokia Unit | Daily Report: Microsoft Says It Will Cut Up to 18,000 Jobs | Finnish Pride Takes Another Blow From Microsoft Job Cuts | Microsoft’s Top Lawyer Is the Tech World’s Envoy | Microsoft’s Profits Slide on Mobile, but Its Cloud Flourishes | With Microsoft in Sights, China Starts to Squeeze U.S. Tech Companies | China Investigating Microsoft for ‘Monopolistic Behavior’ | Judge Rules That Microsoft Must Turn Over Data Stored in Ireland",,41.860001,43.16
2014-08,"Microsoft Sues Samsung Over Android Royalty Payments | Cloud Revenue Jumps, Led by Microsoft and IBM | China Tells Microsoft Not to Interfere With Inquiry | Steve Ballmer Quits Microsoft Board, Citing His Outside Duties | Daily Report: Steve Ballmer Resigns From Board of Microsoft",,43.209999,45.43
2014-09,Microsoft Introduces Three New Smartphones | Minecraft Is Expected to Be Acquired by Microsoft | Microsoft Sees More Than Fun in a Game Like Minecraft | Former Microsoft Executive and Obama Adviser Joins Venture Firm | Test Yourself | Minecraft and Microsoft | Microsoft Says It Will Pay $2.5 Billion for Company That Created Minecraft | Hurd: Oracle Takes On Microsoft in the Cloud | Microsoft Begins a Push Into the Polling World | The Latest Player in the Polling Game? It’s Microsoft | Seattle Start-Up Factory Hires Former Amazon and Microsoft Executive | Microsoft Windows 10 Displays a Familiar Look,,45.43,46.360001
2014-10,"Microsoft and Other Firms Pledge to Protect Student Data | Microsoft’s Nadella Sets Off a Furor on Women’s Pay | Why Microsoft’s Nadella Is Wrong About Women and Raises | Russian Hackers Used Bug in Microsoft Windows for Spying, Report Says | Daily Report: Russian Hackers Exploit Flaw in Microsoft Windows to Spy on Governments | Microsoft Wins a Spot on the N.F.L. Sideline | For Microsoft, Cloud Business Looks More Promising Than Mobile | Longtime Microsoft Executive Opens Cloud Database Start-Up | Microsoft Offers Tantalizing Signs of Progress | Microsoft Jumps Into the Growing Market for Wearable Fitness Technology | Daily Report: Microsoft Leaps Into Wearable Fitness",,46.27,46.950001
2014-11,"Microsoft Band Is a Welcome Surprise in the Wearable Market | Microsoft, Changing Tack, Makes Office Suite Free on Mobile | Daily Report: Microsoft Offering Free Mobile Version of Office | Microsoft’s Nadella Talks About the Future of Office | Microsoft Hopes This Video Game Collection Wings Its Way to Success | Microsoft Billionaire Reboots Seattle Movie Temple",,46.889999,47.810001
2014-12,"Microsoft Buys Acompli, an Email Start-Up | Barnes & Noble and Microsoft End Nook Partnership | How the Promise of Microsoft’s Investment in Nook Soured | Ford Trades Microsoft for BlackBerry in Revamping In-Car System  | Tech and Media Companies Back Microsoft in Privacy Case | Ireland Lends Support to Microsoft in Email Privacy Case | Sony PlayStation and Microsoft Xbox Live Networks Attacked by Hackers",,47.880001,46.450001
2015-01,"Arrest in Britain in Hacking of Microsoft’s Xbox and Sony’s PlayStation Networks | Microsoft Looks to Windows 10 for a Jolt in the Mobile Realm | Daily Report: Microsoft Looks to Windows 10 for a Boost in Mobile | How Xbox Could Help Microsoft and Windows 10 | Dropbox Buys CloudOn, a Microsoft Document Start-Up | At Windows 10 Event, Microsoft Jumps Into Augmented Reality With HoloLens Headset | Microsoft HoloLens: A Sensational Vision of the PC’s Future | 6 Q’s About the News | Microsoft HoloLens: A Sensational Vision of the PC’s Future | Microsoft’s Holographic Vision Triggers a Flashback | Unease for What Microsoft’s HoloLens Will Mean for Our Screen-Obsessed Lives | Price Cuts for Crucial Microsoft Products Eroded Holiday-Season Profit  | Microsoft Brings Outlook to iPhone, Other Mobile Devices | How, and Why, Apple Overtook Microsoft | Daily Report: How Apple Surpassed Microsoft",,46.66,40.400002
2015-02,Microsoft and Samsung End Legal Dispute | Microsoft Continues Mobile Push With Sunrise Acquisition | Deleting Files From Microsoft’s OneDrive | Microsoft Has Suddenly Gotten Serious With Mobile | Daily Report: Microsoft Zeroes In on Mobile,,40.59,43.849998
2015-03,"Microsoft Presents Low-Cost Phones and Windows 10 for Mobile | Microsoft Backs Further Away From Selling Software | Microsoft Partners With Android Makers in Its Latest Mobile Push | From Microsoft, a Novel Way to Mandate Sick Leave",,43.669998,40.66
2015-04,"Amazon to Sell Predictions in Cloud Race Against Google and Microsoft | Microsoft, Once an Antitrust Target, Is Now Google’s Regulatory Scold    | With Eye on Mobile, Yahoo Revises Its Search Partnership With Microsoft | Former Microsoft Executive Nancy Tellem to Join Interlude Start-Up | Microsoft Profits Slip Less Than Projected, With Revenue Up 6% | Microsoft Takes Steps to Close Its App Gap on Mobile Devices | Microsoft (Yes, Microsoft) Has a Far-Out Vision ",,40.599998,48.639999
2015-05,"40 Busy Years Later, Paul Allen, a Microsoft Founder, Considers His Creation | Would Salesforce Make Sense for Microsoft?",,48.580002,46.860001
2015-06,"Microsoft Sets Date for Windows 10 | Microsoft Picks Unusual Place to Make Its Giant Surface Hub: The U.S. | Daily Report: Microsoft’s Surface Touch Screen Is Rare Bright Spot for U.S. Manufacturing | Xbox One to Get ‘Backward Compatibility,’ Microsoft Says at E3 | Xbox One to Get ‘Backward Compatibility,’ Microsoft Says at E3 | 4 Microsoft Executives to Leave in Top-Level Shake-Up | Terry Myerson Rises to Powerful New Role in Charge of Microsoft Devices | Uber to Acquire Mapping Technology and Know-How From Microsoft | AOL in Deal With Microsoft to Take Over Display Ad Business | Daily Report: AOL to Take Over Display Advertising for Microsoft",,47.060001,44.150002
2015-07,"Cutting Jobs, Microsoft Turns Page on Nokia Deal | Daily Report: Microsoft to Cut Up to 7,800 Jobs, Mostly in Phones Unit | Microsoft’s Write-Down on Nokia Adds to String of Merger Missteps | Microsoft Strikes New Tone for Windows 10 Release | Windows 10 Signifies Microsoft’s Shift in Strategy | Daily Report: Windows 10 Signifies Microsoft’s Shift in Strategy | A $7 Billion Charge at Microsoft Leads to Its Largest Loss Ever | In Microsoft’s Nokia Debacle, a View of an Industry’s Feet of Clay | Microsoft Said to Invest Big Sum in Uber",,44.459999,46.700001
2015-08,"With Halo 5: Guardians, Microsoft Seeks to Lure E-Sports Players Back | News Q’s | With Halo 5, Microsoft Seeks to Lure E-Sports Players Back | Following Netflix, Microsoft Sweetens Parental Leave Benefits | Salesforce Ventures and Microsoft Join Informatica Buyout",,46.98,43.52
2015-09,"American Express May Get Same Treatment as Microsoft From ValueAct Capital   | Dell Agrees to Sell Microsoft’s Surface Tablet | How to Talk to Microsoft’s Cortana | Microsoft Releases Office 2016, With Features Focused on Teamwork | Changing the Search Engine in Microsoft Edge   | Microsoft Leads Movement to Offset Emissions With Internal Carbon Tax   | Microsoft and Google Call an End to Patent Battles",,42.169998,44.259998
2015-10,"The Hardware Side of Microsoft Unveils a Pile of New Devices | Daily Report: Microsoft Turns On the Hardware Charm | Microsoft’s Mission to Reignite PC Sector May Be Taking Hold | Microsoft’s Rule-Breaking Vision of a Future With Countless Devices | Microsoft Earnings Climb, Lifted by Strong Growth in Cloud Computing | Mike and Nick’s Week in Tech: Microsoft in the Cloud | Microsoft Goes Upscale With Fifth Avenue Flagship Store",,44.75,52.639999
