date,headline
2014-06-09,"At E3 Gaming Convention, Microsoft Shifts Emphasis of Xbox One Console to Games"
2014-06-11,Microsoft Protests Order to Disclose Email Stored Abroad
2014-06-11,Order for Microsoft to Disclose Data Stored Outside of U.S.
2014-06-11,The Old Is New Again at E3 for Sony and Microsoft
2014-06-11,Daily Report: Microsoft Challenges Federal Warrant for Data Stored Overseas
2014-06-16,Microsoft Unveils Machine Learning for the Masses
2014-06-17,Microsoft’s Surface Pro 3 Isn’t for Everybody
2014-06-20,Using Microsoft OneDrive for Photo Backup
2014-06-23,Microsoft Makes Bet Quantum Computing Is Next Breakthrough
2014-06-24,Daily Report: Microsoft Sees Quantum Computing as Technology’s Next Frontier
2014-06-25,"Google, Microsoft and Others Delve Deeper Into Cloud Storage for Businesses"
2014-07-09,Microsoft Taking Steps to Comply With the Right to be Forgotten
2014-07-10,Satya Nadella Says Changes Are Coming to Microsoft
2014-07-16,Large Round of Layoffs Expected at Microsoft
2014-07-17,"Microsoft to Lay Off Thousands, Most From Nokia Unit"
2014-07-17,"Daily Report: Microsoft Says It Will Cut Up to 18,000 Jobs"
2014-07-17,Finnish Pride Takes Another Blow From Microsoft Job Cuts
2014-07-21,Microsoft’s Top Lawyer Is the Tech World’s Envoy
2014-07-22,"Microsoft’s Profits Slide on Mobile, but Its Cloud Flourishes"
2014-07-28,"With Microsoft in Sights, China Starts to Squeeze U.S. Tech Companies"
2014-07-30,China Investigating Microsoft for ‘Monopolistic Behavior’
2014-07-31,Judge Rules That Microsoft Must Turn Over Data Stored in Ireland
2014-08-01,Microsoft Sues Samsung Over Android Royalty Payments
2014-08-03,"Cloud Revenue Jumps, Led by Microsoft and IBM"
2014-08-04,China Tells Microsoft Not to Interfere With Inquiry
2014-08-19,"Steve Ballmer Quits Microsoft Board, Citing His Outside Duties"
2014-08-20,Daily Report: Steve Ballmer Resigns From Board of Microsoft
2014-09-04,Microsoft Introduces Three New Smartphones
2014-09-10,Minecraft Is Expected to Be Acquired by Microsoft
2014-09-11,Microsoft Sees More Than Fun in a Game Like Minecraft
2014-09-12,Former Microsoft Executive and Obama Adviser Joins Venture Firm
2014-09-15,Test Yourself | Minecraft and Microsoft
2014-09-15,Microsoft Says It Will Pay $2.5 Billion for Company That Created Minecraft
2014-09-22,Hurd: Oracle Takes On Microsoft in the Cloud
2014-09-29,Microsoft Begins a Push Into the Polling World
2014-09-29,The Latest Player in the Polling Game? It’s Microsoft
2014-09-30,Seattle Start-Up Factory Hires Former Amazon and Microsoft Executive
2014-09-30,Microsoft Windows 10 Displays a Familiar Look
2014-10-07,Microsoft and Other Firms Pledge to Protect Student Data
2014-10-09,Microsoft’s Nadella Sets Off a Furor on Women’s Pay
2014-10-10,Why Microsoft’s Nadella Is Wrong About Women and Raises
2014-10-14,"Russian Hackers Used Bug in Microsoft Windows for Spying, Report Says"
2014-10-14,Daily Report: Russian Hackers Exploit Flaw in Microsoft Windows to Spy on Governments
2014-10-15,Microsoft Wins a Spot on the N.F.L. Sideline
2014-10-21,"For Microsoft, Cloud Business Looks More Promising Than Mobile"
