Month-Year,HEADLINES,SEC filings-Highlights,Open,Close
2016-07,Using Virtual Reality to Create a New Corporate Headquarters,,1.16875,1.4275
2017-08,SoftBank and Fund to Invest $4.4 Billion in WeWork,,4.05325,4.236
2018-10,,"1. Revenue for fiscal year 2019 increased 21% year over year
2. Gaming revenue was $6.25 billion, up 13% from a year ago driven by growth in gaming GPUs. 
3. Professional visualization revenue was $1.13 billion, up 21% from a year earlier driven by strength across both desktop and mobile workstation products.
4. Datacenter revenue was $2.93 billion, up 52% from a year ago.
5. Automotive revenue of $641 million was up 15% from a year earlier.
6. OEM and IP revenue was $767 million, down 1% from a year ago.",7.104,5.27075
2018-11,,"1. Revenue for fiscal year 2019 increased 21% year over year
2. Gaming revenue was $6.25 billion, up 13% from a year ago driven by growth in gaming GPUs. 
3. Professional visualization revenue was $1.13 billion, up 21% from a year earlier driven by strength across both desktop and mobile workstation products.
4. Datacenter revenue was $2.93 billion, up 52% from a year ago.
5. Automotive revenue of $641 million was up 15% from a year earlier.
6. OEM and IP revenue was $767 million, down 1% from a year ago.",5.3075,4.08575
2018-12,,"1. Revenue for fiscal year 2019 increased 21% year over year
2. Gaming revenue was $6.25 billion, up 13% from a year ago driven by growth in gaming GPUs. 
3. Professional visualization revenue was $1.13 billion, up 21% from a year earlier driven by strength across both desktop and mobile workstation products.
4. Datacenter revenue was $2.93 billion, up 52% from a year ago.
5. Automotive revenue of $641 million was up 15% from a year earlier.
6. OEM and IP revenue was $767 million, down 1% from a year ago.",4.315,3.3375
2019-01,China Warnings From Caterpillar and Nvidia Hit U.S. Stocks,"1. Revenue for the first quarter of fiscal year 2020 decreased 31% year over year and increased 1% sequentially.
2. GPU business revenue was $2.02 billion, down 27% from a year earlier and up 2% sequentially. 
3. Gaming revenue was $1.05 billion, down 39% from a year ago and up 11% sequentially. 
4. Professional Visualization revenue was $266 million, up 6% from a year earlier and down 9% sequentially. 
5. Data Center revenue was $634 million, down 10% from a year ago and down 7% sequentially.
6. Automotive revenue of $166 million was up 14% from a year earlier and up 2% sequentially. | ANNUAL 1. Revenue for fiscal year 2019 increased 21% year over year
2. Gaming revenue was $6.25 billion, up 13% from a year ago driven by growth in gaming GPUs. 
3. Professional visualization revenue was $1.13 billion, up 21% from a year earlier driven by strength across both desktop and mobile workstation products.
4. Datacenter revenue was $2.93 billion, up 52% from a year ago.
5. Automotive revenue of $641 million was up 15% from a year earlier.
6. OEM and IP revenue was $767 million, down 1% from a year ago.",3.266,3.59375
2019-02,,"1. Revenue for the first quarter of fiscal year 2020 decreased 31% year over year and increased 1% sequentially.
2. GPU business revenue was $2.02 billion, down 27% from a year earlier and up 2% sequentially. 
3. Gaming revenue was $1.05 billion, down 39% from a year ago and up 11% sequentially. 
4. Professional Visualization revenue was $266 million, up 6% from a year earlier and down 9% sequentially. 
5. Data Center revenue was $634 million, down 10% from a year ago and down 7% sequentially.
6. Automotive revenue of $166 million was up 14% from a year earlier and up 2% sequentially. | ANNUAL 1. Revenue for fiscal year 2019 increased 21% year over year
2. Gaming revenue was $6.25 billion, up 13% from a year ago driven by growth in gaming GPUs. 
3. Professional visualization revenue was $1.13 billion, up 21% from a year earlier driven by strength across both desktop and mobile workstation products.
4. Datacenter revenue was $2.93 billion, up 52% from a year ago.
5. Automotive revenue of $641 million was up 15% from a year earlier.
6. OEM and IP revenue was $767 million, down 1% from a year ago.",3.6125,3.8565
2019-03,,"1. Revenue for the first quarter of fiscal year 2020 decreased 31% year over year and increased 1% sequentially.
2. GPU business revenue was $2.02 billion, down 27% from a year earlier and up 2% sequentially. 
3. Gaming revenue was $1.05 billion, down 39% from a year ago and up 11% sequentially. 
4. Professional Visualization revenue was $266 million, up 6% from a year earlier and down 9% sequentially. 
5. Data Center revenue was $634 million, down 10% from a year ago and down 7% sequentially.
6. Automotive revenue of $166 million was up 14% from a year earlier and up 2% sequentially.",3.90675,4.489
2019-04,,"1. Revenue for the second quarter of fiscal year 2020 decreased 17% year over year and increased 16% sequentially.
2. Gaming revenue was $1.31 billion, down 27% from a year ago and up 24% sequentially.
3. Professional Visualization revenue was $291 million, up 4% from a year earlier and up 9% sequentially. 
4. Data Center revenue was $655 million, down 14% from a year ago and up 3% sequentially. 
5. Automotive revenue of $209 million was up 30% from a year earlier and up 26% sequentially. 
6. OEM and Other revenue was $111 million, down 4% from a year ago and up 12% sequentially. | ANNUAL 1. Revenue for the first quarter of fiscal year 2020 decreased 31% year over year and increased 1% sequentially.
2. GPU business revenue was $2.02 billion, down 27% from a year earlier and up 2% sequentially. 
3. Gaming revenue was $1.05 billion, down 39% from a year ago and up 11% sequentially. 
4. Professional Visualization revenue was $266 million, up 6% from a year earlier and down 9% sequentially. 
5. Data Center revenue was $634 million, down 10% from a year ago and down 7% sequentially.
6. Automotive revenue of $166 million was up 14% from a year earlier and up 2% sequentially.",4.5815,4.525
2019-05,,"1. Revenue for the second quarter of fiscal year 2020 decreased 17% year over year and increased 16% sequentially.
2. Gaming revenue was $1.31 billion, down 27% from a year ago and up 24% sequentially.
3. Professional Visualization revenue was $291 million, up 4% from a year earlier and up 9% sequentially. 
4. Data Center revenue was $655 million, down 14% from a year ago and up 3% sequentially. 
5. Automotive revenue of $209 million was up 30% from a year earlier and up 26% sequentially. 
6. OEM and Other revenue was $111 million, down 4% from a year ago and up 12% sequentially. | ANNUAL 1. Revenue for the first quarter of fiscal year 2020 decreased 31% year over year and increased 1% sequentially.
2. GPU business revenue was $2.02 billion, down 27% from a year earlier and up 2% sequentially. 
3. Gaming revenue was $1.05 billion, down 39% from a year ago and up 11% sequentially. 
4. Professional Visualization revenue was $266 million, up 6% from a year earlier and down 9% sequentially. 
5. Data Center revenue was $634 million, down 10% from a year ago and down 7% sequentially.
6. Automotive revenue of $166 million was up 14% from a year earlier and up 2% sequentially.",4.57775,3.3865
